"filename", "language", "Markdown", "JavaScript", "pip requirements", "PostCSS", "JavaScript JSX", "JSON", "HTML", "Python", "JSON Lines", "comment", "blank", "total"
"d:\college\Iota-Cluster\valhalla\README.md", "Markdown", 242, 0, 0, 0, 0, 0, 0, 0, 0, 0, 78, 320
"d:\college\Iota-Cluster\valhalla\backend\Odin.py", "Python", 0, 0, 0, 0, 0, 0, 0, 709, 0, 77, 149, 935
"d:\college\Iota-Cluster\valhalla\backend\Pathfinder_test.py", "Python", 0, 0, 0, 0, 0, 0, 0, 59, 0, 5, 17, 81
"d:\college\Iota-Cluster\valhalla\backend\data\environment\buildings_polygon_decomposed.json", "JSON", 0, 0, 0, 0, 0, 3878, 0, 0, 0, 0, 0, 3878
"d:\college\Iota-Cluster\valhalla\backend\data\environment\entrypoint.json", "JSON", 0, 0, 0, 0, 0, 240, 0, 0, 0, 0, 0, 240
"d:\college\Iota-Cluster\valhalla\backend\data\environment\events_calendar.json", "JSON", 0, 0, 0, 0, 0, 56, 0, 0, 0, 0, 1, 57
"d:\college\Iota-Cluster\valhalla\backend\data\environment\instances_default.json", "JSON", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"d:\college\Iota-Cluster\valhalla\backend\data\environment\places.json", "JSON", 0, 0, 0, 0, 0, 253, 0, 0, 0, 0, 21, 274
"d:\college\Iota-Cluster\valhalla\backend\data\environment\relationship_matrix.json", "JSON", 0, 0, 0, 0, 0, 725, 0, 0, 0, 0, 0, 725
"d:\college\Iota-Cluster\valhalla\backend\data\personalities\ankit\ankit.json", "JSON", 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 1, 16
"d:\college\Iota-Cluster\valhalla\backend\data\personalities\ansh_batra\ansh_batra.json", "JSON", 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 1, 16
"d:\college\Iota-Cluster\valhalla\backend\data\personalities\anubhav\anubhav.json", "JSON", 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 2, 16
"d:\college\Iota-Cluster\valhalla\backend\data\personalities\ganishat\ganishat.json", "JSON", 0, 0, 0, 0, 0, 59, 0, 0, 0, 0, 1, 60
"d:\college\Iota-Cluster\valhalla\backend\data\personalities\gurnoor\gurnoor.json", "JSON", 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 14
"d:\college\Iota-Cluster\valhalla\backend\data\personalities\lavanya_sharma\lavanya_sharma.json", "JSON", 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 1, 16
"d:\college\Iota-Cluster\valhalla\backend\data\personalities\parv\parv.json", "JSON", 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 2, 15
"d:\college\Iota-Cluster\valhalla\backend\data\personalities\riya_murarka\riya_murarka.json", "JSON", 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 1, 16
"d:\college\Iota-Cluster\valhalla\backend\data\personalities\saksham\saksham.json", "JSON", 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 1, 16
"d:\college\Iota-Cluster\valhalla\backend\data\personalities\tanishq\tanishq.json", "JSON", 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 1, 15
"d:\college\Iota-Cluster\valhalla\backend\pathfinder.py", "Python", 0, 0, 0, 0, 0, 0, 0, 87, 0, 12, 16, 115
"d:\college\Iota-Cluster\valhalla\backend\src\agents\Actions.py", "Python", 0, 0, 0, 0, 0, 0, 0, 526, 0, 157, 100, 783
"d:\college\Iota-Cluster\valhalla\backend\src\agents\Long_term.py", "Python", 0, 0, 0, 0, 0, 0, 0, 19, 0, 14, 13, 46
"d:\college\Iota-Cluster\valhalla\backend\src\agents\Short_term.py", "Python", 0, 0, 0, 0, 0, 0, 0, 323, 0, 141, 95, 559
"d:\college\Iota-Cluster\valhalla\backend\src\agents\Single_agent.py", "Python", 0, 0, 0, 0, 0, 0, 0, 138, 0, 39, 47, 224
"d:\college\Iota-Cluster\valhalla\backend\src\agents\autonomy.py", "Python", 0, 0, 0, 0, 0, 0, 0, 8, 0, 8, 5, 21
"d:\college\Iota-Cluster\valhalla\backend\src\agents\body.py", "Python", 0, 0, 0, 0, 0, 0, 0, 30, 0, 27, 15, 72
"d:\college\Iota-Cluster\valhalla\backend\src\agents\brain.py", "Python", 0, 0, 0, 0, 0, 0, 0, 142, 0, 19, 26, 187
"d:\college\Iota-Cluster\valhalla\backend\src\agents\conversation.py", "Python", 0, 0, 0, 0, 0, 0, 0, 558, 0, 120, 113, 791
"d:\college\Iota-Cluster\valhalla\backend\src\agents\daily_flavor.py", "Python", 0, 0, 0, 0, 0, 0, 0, 30, 0, 7, 9, 46
"d:\college\Iota-Cluster\valhalla\backend\src\agents\day_planner.py", "Python", 0, 0, 0, 0, 0, 0, 0, 765, 0, 146, 163, 1074
"d:\college\Iota-Cluster\valhalla\backend\src\agents\memory_index.py", "Python", 0, 0, 0, 0, 0, 0, 0, 76, 0, 9, 11, 96
"d:\college\Iota-Cluster\valhalla\backend\src\agents\react.py", "Python", 0, 0, 0, 0, 0, 0, 0, 34, 0, 18, 18, 70
"d:\college\Iota-Cluster\valhalla\backend\src\agents\vector_memory.py", "Python", 0, 0, 0, 0, 0, 0, 0, 411, 0, 60, 44, 515
"d:\college\Iota-Cluster\valhalla\backend\src\config.py", "Python", 0, 0, 0, 0, 0, 0, 0, 214, 0, 105, 69, 388
"d:\college\Iota-Cluster\valhalla\backend\src\core\agent_registry.py", "Python", 0, 0, 0, 0, 0, 0, 0, 46, 0, 13, 18, 77
"d:\college\Iota-Cluster\valhalla\backend\src\core\budget.py", "Python", 0, 0, 0, 0, 0, 0, 0, 78, 0, 23, 20, 121
"d:\college\Iota-Cluster\valhalla\backend\src\core\checkpoint_manager.py", "Python", 0, 0, 0, 0, 0, 0, 0, 219, 0, 49, 58, 326
"d:\college\Iota-Cluster\valhalla\backend\src\core\log.py", "Python", 0, 0, 0, 0, 0, 0, 0, 76, 0, 51, 19, 146
"d:\college\Iota-Cluster\valhalla\backend\src\core\perceive.py", "Python", 0, 0, 0, 0, 0, 0, 0, 99, 0, 27, 28, 154
