Date : 2026-07-23 17:18:55
Directory : d:\college\Iota-Cluster\valhalla
Total : 71 files,  146689 codes, 1830 comments, 1781 blanks, all 150300 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
+------------------+------------+------------+------------+------------+------------+
| JSON Lines       |          1 |    131,109 |          0 |          1 |    131,110 |
| Python           |         30 |      7,585 |      1,791 |      1,554 |     10,930 |
| JSON             |         19 |      6,391 |          0 |         35 |      6,426 |
| JavaScript JSX   |         14 |      1,187 |         35 |         88 |      1,310 |
| Markdown         |          1 |        242 |          0 |         78 |        320 |
| PostCSS          |          1 |         87 |          0 |         12 |         99 |
| JavaScript       |          3 |         62 |          2 |         11 |         75 |
| HTML             |          1 |         15 |          0 |          1 |         16 |
| pip requirements |          1 |         11 |          2 |          1 |         14 |
+------------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                           | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                              |         71 |    146,689 |      1,830 |      1,781 |    150,300 |
| . (Files)                                                                                      |          2 |        253 |          2 |         79 |        334 |
| backend                                                                                        |         46 |     12,927 |      1,791 |      1,587 |     16,305 |
| backend (Files)                                                                                |          3 |        855 |         94 |        182 |      1,131 |
| backend\data                                                                                   |         16 |      5,342 |          0 |         33 |      5,375 |
| backend\data\environment                                                                       |          6 |      5,153 |          0 |         22 |      5,175 |
| backend\data\personalities                                                                     |         10 |        189 |          0 |         11 |        200 |
| backend\data\personalities\ankit                                                               |          1 |         15 |          0 |          1 |         16 |
| backend\data\personalities\ansh_batra                                                          |          1 |         15 |          0 |          1 |         16 |
| backend\data\personalities\anubhav                                                             |          1 |         14 |          0 |          2 |         16 |
| backend\data\personalities\ganishat                                                            |          1 |         59 |          0 |          1 |         60 |
| backend\data\personalities\gurnoor                                                             |          1 |         14 |          0 |          0 |         14 |
| backend\data\personalities\lavanya_sharma                                                      |          1 |         15 |          0 |          1 |         16 |
| backend\data\personalities\parv                                                                |          1 |         13 |          0 |          2 |         15 |
| backend\data\personalities\riya_murarka                                                        |          1 |         15 |          0 |          1 |         16 |
| backend\data\personalities\saksham                                                             |          1 |         15 |          0 |          1 |         16 |
| backend\data\personalities\tanishq                                                             |          1 |         14 |          0 |          1 |         15 |
| backend\src                                                                                    |         26 |      6,559 |      1,686 |      1,347 |      9,592 |
| backend\src (Files)                                                                            |          1 |        214 |        105 |         69 |        388 |
| backend\src\agents                                                                             |         13 |      3,060 |        765 |        659 |      4,484 |
| backend\src\core                                                                               |         11 |      2,992 |        706 |        535 |      4,233 |
| backend\src\llm                                                                                |          1 |        293 |        110 |         84 |        487 |
| backend\tools                                                                                  |          1 |        171 |         11 |         25 |        207 |
| frontend                                                                                       |         23 |    133,509 |         37 |        115 |    133,661 |
| frontend (Files)                                                                               |          4 |      1,081 |          0 |          5 |      1,086 |
